,0,1,2,3,4,5,6,7,8,board_str,value
409,O,,O,X,,,,,X,"O,,O,X,,,,,X",0.5
410,,O,X,,O,,,,X,",O,X,,O,,,,X",0.5
411,,,,,X,O,O,,X,",,,,X,O,O,,X",0.5
412,X,O,O,,,,,,X,"X,O,O,,,,,,X",0.5
413,,,,O,,X,X,O,,",,,O,,X,X,O,",0.5
414,O,O,X,,X,,,,,"O,O,X,,X,,,,",0.5
415,,,,O,,O,X,,X,",,,O,,O,X,,X",0.5
416,,,O,X,O,,,X,,",,O,X,O,,,X,",0.5
417,X,O,,,O,X,,,,"X,O,,,O,X,,,",0.5
418,O,,,,O,X,,X,,"O,,,,O,X,,X,",0.5
419,X,,,O,X,,,,O,"X,,,O,X,,,,O",0.5
420,O,,X,O,,,X,,,"O,,X,O,,,X,,",0.5
421,,,O,,X,O,,X,,",,O,,X,O,,X,",0.5
422,O,,O,,X,X,,,,"O,,O,,X,X,,,",0.5
423,,,O,X,,,,O,X,",,O,X,,,,O,X",0.5
424,,O,,,O,X,,,X,",O,,,O,X,,,X",0.5
425,,X,,,X,,O,,O,",X,,,X,,O,,O",0.5
426,,,,X,,,X,O,O,",,,X,,,X,O,O",0.5
427,,,,,,X,O,O,X,",,,,,X,O,O,X",0.5
428,,X,,O,,O,,X,,",X,,O,,O,,X,",0.5
429,X,,X,O,,O,,,,"X,,X,O,,O,,,",0.5
430,X,X,,O,,,,,O,"X,X,,O,,,,,O",0.5
431,,,X,O,X,,,O,,",,X,O,X,,,O,",0.5
432,,X,,,,X,O,,O,",X,,,,X,O,,O",0.5
433,,X,,O,X,O,,,,",X,,O,X,O,,,",0.5
434,,,X,X,,O,O,,,",,X,X,,O,O,,",0.5
435,,O,,,X,,,O,X,",O,,,X,,,O,X",0.5
436,O,,,O,X,X,,,,"O,,,O,X,X,,,",0.5
437,X,,,O,,,O,,X,"X,,,O,,,O,,X",0.5
438,,,O,,,,X,X,O,",,O,,,,X,X,O",0.5
439,,X,,,,O,,X,O,",X,,,,O,,X,O",0.5
440,X,O,,O,,,,X,,"X,O,,O,,,,X,",0.5
441,O,,,O,,X,X,,,"O,,,O,,X,X,,",0.5
442,,,O,,,O,X,X,,",,O,,,O,X,X,",0.5
443,X,,,O,X,,O,,,"X,,,O,X,,O,,",0.5
444,X,O,,X,,O,,,,"X,O,,X,,O,,,",0.5
445,X,,O,,,X,,,O,"X,,O,,,X,,,O",0.5
446,,O,X,,O,,,X,,",O,X,,O,,,X,",0.5
447,O,,X,,,O,X,,,"O,,X,,,O,X,,",0.5
448,,X,,O,,,O,,X,",X,,O,,,O,,X",0.5
449,,,,,X,O,O,X,,",,,,X,O,O,X,",0.5
450,,X,O,O,,,,X,,",X,O,O,,,,X,",0.5
451,O,,X,,O,,,,X,"O,,X,,O,,,,X",0.5
452,,O,X,,,,O,X,,",O,X,,,,O,X,",0.5
453,X,,X,,,,O,,O,"X,,X,,,,O,,O",0.5
454,,X,,,X,O,,O,,",X,,,X,O,,O,",0.5
455,,O,,X,,,X,,O,",O,,X,,,X,,O",0.5
456,X,X,,,O,,O,,,"X,X,,,O,,O,,",0.5
457,O,X,,,,O,,,X,"O,X,,,,O,,,X",0.5
458,O,,X,,,X,O,,,"O,,X,,,X,O,,",0.5
459,O,X,,,,,,X,O,"O,X,,,,,,X,O",0.5
460,,,X,,O,X,,,O,",,X,,O,X,,,O",0.5
461,O,,,,O,,,X,X,"O,,,,O,,,X,X",0.5
462,,O,,X,,X,,,O,",O,,X,,X,,,O",0.5
463,,,O,,X,X,,,O,",,O,,X,X,,,O",0.5
464,,,O,,X,O,,,X,",,O,,X,O,,,X",0.5
465,X,,O,,X,,O,,,"X,,O,,X,,O,,",0.5
466,O,,X,O,,,,,X,"O,,X,O,,,,,X",0.5
467,,,O,,,X,X,O,,",,O,,,X,X,O,",0.5
468,X,O,X,,,,O,,,"X,O,X,,,,O,,",0.5
469,X,X,O,,,,,,O,"X,X,O,,,,,,O",0.5
470,,O,X,,,X,O,,,",O,X,,,X,O,,",0.5
471,X,,O,,,O,X,,,"X,,O,,,O,X,,",0.5
472,O,O,,,,X,X,,,"O,O,,,,X,X,,",0.5
473,O,O,,X,,,,,X,"O,O,,X,,,,,X",0.5
474,X,,O,,O,,,,X,"X,,O,,O,,,,X",0.5
475,,,X,,O,,O,,X,",,X,,O,,O,,X",0.5
476,,,,,O,X,O,,X,",,,,O,X,O,,X",0.5
477,O,,X,,,,X,,O,"O,,X,,,,X,,O",0.5
478,X,O,,,O,,,,X,"X,O,,,O,,,,X",0.5
479,O,,,,O,,X,,X,"O,,,,O,,X,,X",0.5
480,,,X,X,O,,,O,,",,X,X,O,,,O,",0.5
481,X,O,,,X,,,O,,"X,O,,,X,,,O,",0.5
482,,,X,,O,O,X,,,",,X,,O,O,X,,",0.5
483,X,,,O,O,,,,X,"X,,,O,O,,,,X",0.5
484,X,,O,,,X,O,,,"X,,O,,,X,O,,",0.5
485,O,,X,X,O,,,,,"O,,X,X,O,,,,",0.5
486,X,,,X,O,,,,O,"X,,,X,O,,,,O",0.5
487,,,X,O,O,X,,,,",,X,O,O,X,,,",0.5
488,,X,X,,O,,,O,,",X,X,,O,,,O,",0.5
489,O,,,X,X,,O,,,"O,,,X,X,,O,,",0.5
490,X,,O,O,,,,,X,"X,,O,O,,,,,X",0.5
491,,,,,O,,O,X,X,",,,,O,,O,X,X",0.5
492,X,,X,,O,O,,,,"X,,X,,O,O,,,",0.5
493,,,O,,,O,X,,X,",,O,,,O,X,,X",0.5
494,X,O,,X,,,O,,,"X,O,,X,,,O,,",0.5
495,,,X,O,,X,,O,,",,X,O,,X,,O,",0.5
496,X,,O,,,,X,O,,"X,,O,,,,X,O,",0.5
497,O,,,,X,X,O,,,"O,,,,X,X,O,,",0.5
498,,X,O,,X,,O,,,",X,O,,X,,O,,",0.5
499,,,,X,O,,,X,O,",,,X,O,,,X,O",0.5
500,,,O,O,X,,X,,,",,O,O,X,,X,,",0.5
501,X,,,,,O,O,,X,"X,,,,,O,O,,X",0.5
502,X,,,,O,O,,,X,"X,,,,O,O,,,X",0.5
503,,,,O,X,,X,O,,",,,O,X,,X,O,",0.5
504,X,,,O,,,,X,O,"X,,,O,,,,X,O",0.5
505,,,,,,O,O,X,X,",,,,,O,O,X,X",0.5
506,X,,O,,,,O,X,,"X,,O,,,,O,X,",0.5
507,X,X,O,,,,O,,,"X,X,O,,,,O,,",0.5
508,,,O,,,,X,O,X,",,O,,,,X,O,X",0.5
509,O,,,O,,,X,X,,"O,,,O,,,X,X,",0.5
510,,,X,O,X,,,,O,",,X,O,X,,,,O",0.5
511,O,O,,,,,X,,X,"O,O,,,,,X,,X",0.5
512,,,X,,X,O,O,,,",,X,,X,O,O,,",0.5
513,O,X,,,O,X,,,,"O,X,,,O,X,,,",0.5
514,,,,O,X,,O,X,,",,,O,X,,O,X,",0.5
515,,X,O,X,O,,,,,",X,O,X,O,,,,",0.5
516,,X,,X,O,,,,O,",X,,X,O,,,,O",0.5
517,,X,,O,,,O,X,,",X,,O,,,O,X,",0.5
518,O,,,,,X,X,,O,"O,,,,,X,X,,O",0.5
519,X,,,,O,,,X,O,"X,,,,O,,,X,O",0.5
520,,X,,,O,O,X,,,",X,,,O,O,X,,",0.5
521,,,,X,,O,O,X,,",,,X,,O,O,X,",0.5
522,X,O,,,,,X,O,,"X,O,,,,,X,O,",0.5
523,O,X,,O,X,,,,,"O,X,,O,X,,,,",0.5
524,,,O,,O,X,,X,,",,O,,O,X,,X,",0.5
525,X,,O,,,O,,,X,"X,,O,,,O,,,X",0.5
526,,X,O,,O,,,,X,",X,O,,O,,,,X",0.5
527,,,,O,,X,O,X,,",,,O,,X,O,X,",0.5
528,,,X,O,,,O,,X,",,X,O,,,O,,X",0.5
529,,,X,X,O,,O,,,",,X,X,O,,O,,",0.5
